TDC QDC1 QDC2
1266.8707933211062 -3.53125 -3.634375
5845.252127840521 -2.977083 -2.9875000000000003
11626.982488075026 -2.9635409999999993 -2.939583
9893.92719963508 -2.998958 -3.015625
3527.938433834792 -2.925 -2.9375000000000004
10664.050391386078 -2.9604159999999995 -2.9416659999999992
11442.104943216184 -2.9375000000000004 -2.945833
3523.643494929651 -2.96875 -2.954166
12428.774721448879 -5.094792 -3.4322920000000003
12215.65010590756 -3.0062499999999996 -3.0
2560.28945028025 -2.945833 -2.964583
622.4810045334118 -2.9354159999999996 -2.9354159999999996
5461.07963683965 -2.9916659999999995 -2.94375
202.09407138023374 -5.626043000000001 -3.4666669999999997
5665.586306591422 -2.94375 -2.9291659999999995
7585.66231393832 -3.039583 -3.0145830000000005
6244.093537647687 -2.9479159999999998 -2.9270830000000005
1615.7951450219732 -3.3875 -5.133334
10494.027956814683 -2.9749999999999996 -2.9291659999999995
10675.298642207155 -2.9312500000000004 -2.9270830000000005
8545.680248525656 -2.9625 -2.9666659999999996
5062.4048521819095 -3.39375 -3.55
1281.8287207934923 -3.901042 -3.791667
9328.662825488103 -2.989583 -2.978125
9314.810646943428 -2.954166 -2.94375
7194.460396355342 -2.969791 -2.9270830000000005
3923.0446855865544 -2.958333 -2.9270830000000005
2758.70462463279 -3.007291 -2.958333
3923.550162370277 -2.94375 -3.070833
7769.294504532335 -2.9656249999999997 -2.977083
9528.49084798892 -2.9291659999999995 -2.9291659999999995
1783.2370511968184 -2.933333 -2.9291659999999995
4867.723565963618 -2.9833330000000005 -2.9562500000000003
3713.709691366708 -4.230209 -4.120834
3330.8901628676786 -2.9479159999999998 -2.94375
637.8687695495888 -2.977083 -2.972916
1225.0697792649669 -2.9416659999999992 -2.977083
2229.217977719877 -3.4125 -5.285416999999999
9696.888954955102 -2.9625 -2.980208
4317.392220516117 -2.933333 -2.9562500000000003
3718.144681143549 -2.9791659999999998 -2.958333
4120.325072348348 -3.044790999999999 -2.989583
1926.3514049051857 -3.9114579999999997 -4.840626
5069.734852030482 -3.025 -2.934375
2570.0925668322398 -2.9520830000000005 -2.933333
12410.801455037086 -2.976041 -2.9291659999999995
1996.295654863387 -3.0 -2.9520830000000005
11242.05679307685 -3.4791669999999995 -3.4781250000000004
